connection,kind,members,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,status
analysis_leg_wall_bolt_left_1,bolt,box_side_left + leg_left,-1217.2,881.9018479618685,1480.2199168511524,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_left_2,bolt,box_side_left + leg_left,-1217.2,933.3248567367916,1541.5034723006706,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_left_3,bolt,box_side_left + leg_left,-1217.2,1010.4593698991763,1633.428805474948,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_left_4,bolt,box_side_left + leg_left,-1217.2,1061.8823786740995,1694.7123609244663,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_right_1,bolt,box_side_right + leg_right,1217.2,881.9018479618685,1480.2199168511524,1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_right_2,bolt,box_side_right + leg_right,1217.2,933.3248567367916,1541.5034723006706,1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_right_3,bolt,box_side_right + leg_right,1217.2,1010.4593698991763,1633.428805474948,1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
analysis_leg_wall_bolt_right_4,bolt,box_side_right + leg_right,1217.2,1061.8823786740995,1694.7123609244663,1.0,0.0,0.0,95.25,3.75,9.525,76.2,NOMINAL envelope; no rated product/capacity selected
panel_1,screw,main_lower_left + panel_edge_bottom,-1169.2,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_2,screw,main_lower_left + panel_edge_bottom,-796.1333333333334,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_3,screw,main_lower_left + panel_edge_bottom,-423.0666666666667,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_4,screw,main_lower_left + panel_edge_bottom,-50.0,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_5,screw,main_lower_left + panel_seam_horizontal,-1169.2,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_6,screw,main_lower_left + panel_seam_horizontal,-793.1333333333334,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_7,screw,main_lower_left + panel_seam_horizontal,-445.0666666666667,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_8,screw,main_lower_left + panel_seam_horizontal,-50.0,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_9,screw,main_lower_left + panel_edge_left_lower,-1169.2,253.94201140471853,549.0878690688689,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_10,screw,main_lower_left + panel_edge_left_lower,-1169.2,493.74464232511014,834.8735159817891,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_11,screw,main_lower_left + panel_seam_vertical_lower,-50.0,253.94201140471853,549.0878690688689,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_12,screw,main_lower_left + panel_seam_vertical_lower,-50.0,493.74464232511014,834.8735159817891,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_13,screw,main_lower_right + panel_edge_bottom,50.0,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_14,screw,main_lower_right + panel_edge_bottom,423.06666666666666,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_15,screw,main_lower_right + panel_edge_bottom,796.1333333333333,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_16,screw,main_lower_right + panel_edge_bottom,1169.2,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_17,screw,main_lower_right + panel_seam_horizontal,50.0,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_18,screw,main_lower_right + panel_seam_horizontal,423.06666666666666,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_19,screw,main_lower_right + panel_seam_horizontal,807.1333333333333,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_20,screw,main_lower_right + panel_seam_horizontal,1169.2,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_21,screw,main_lower_right + panel_seam_vertical_lower,50.0,253.94201140471853,549.0878690688689,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_22,screw,main_lower_right + panel_seam_vertical_lower,50.0,493.74464232511014,834.8735159817891,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_23,screw,main_lower_right + panel_edge_right_lower,1169.2,253.94201140471853,549.0878690688689,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_24,screw,main_lower_right + panel_edge_right_lower,1169.2,493.74464232511014,834.8735159817891,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_25,screw,main_upper_left + panel_seam_horizontal,-1169.2,797.8260342141557,1197.2636072066068,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_26,screw,main_upper_left + panel_seam_horizontal,-793.1333333333334,797.8260342141557,1197.2636072066068,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_27,screw,main_upper_left + panel_seam_horizontal,-445.0666666666667,797.8260342141557,1197.2636072066068,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_28,screw,main_upper_left + panel_seam_horizontal,-50.0,797.8260342141557,1197.2636072066068,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_29,screw,main_upper_left + panel_edge_top,-1169.2,1517.2339269753302,2054.620547945367,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_30,screw,main_upper_left + panel_edge_top,-796.1333333333334,1517.2339269753302,2054.620547945367,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_31,screw,main_upper_left + panel_edge_top,-423.0666666666667,1517.2339269753302,2054.620547945367,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_32,screw,main_upper_left + panel_edge_top,-50.0,1517.2339269753302,2054.620547945367,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_33,screw,main_upper_left + panel_edge_left_upper,-1169.2,1037.6286651345472,1483.049254119527,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_34,screw,main_upper_left + panel_edge_left_upper,-1169.2,1277.4312960549387,1768.834901032447,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_35,screw,main_upper_left + panel_seam_vertical_upper,-50.0,1037.6286651345472,1483.049254119527,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_36,screw,main_upper_left + panel_seam_vertical_upper,-50.0,1277.4312960549387,1768.834901032447,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_37,screw,main_upper_right + panel_seam_horizontal,50.0,797.8260342141557,1197.2636072066068,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_38,screw,main_upper_right + panel_seam_horizontal,423.06666666666666,797.8260342141557,1197.2636072066068,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
panel_39,screw,main_upper_right + panel_seam_horizontal,807.1333333333333,797.8260342141557,1197.2636072066068,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
